x,y,z,vx,vy,vz,t
114.669,3.50234,80.1525,0.81965,0.182088,0.543156,74.5
-94.5725,-106.896,79.5902,-0.747955,-0.396742,0.532127,90
114.669,3.50234,80.1525,0.81965,0.182088,0.543156,74.5
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
-97.4112,-108.957,81.4885,-0.667304,-0.616886,0.417321,92
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
114.669,3.50234,80.1525,0.81965,0.182088,0.543156,74.5
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
-100.454,-111.108,82.9106,-0.837089,-0.460256,0.295713,94
72.2441,-24.2085,59.4017,0.360357,-0.926751,-0.106186,55.1
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
-10.35,35.7561,25.4996,-0.622282,0.712091,0.325101,26.4
-10.35,35.7561,25.4996,-0.622282,0.712091,0.325101,26.4
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
114.669,3.50234,80.1525,0.81965,0.182088,0.543156,74.5
114.669,3.50234,80.1525,0.81965,0.182088,0.543156,74.5
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
114.669,3.50234,80.1525,0.81965,0.182088,0.543156,74.5
114.669,3.50234,80.1525,0.81965,0.182088,0.543156,74.5
114.669,3.50234,80.1525,0.81965,0.182088,0.543156,74.5
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
-99.6411,-111.709,83.3216,-0.451986,-0.745132,0.490394,94
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
-10.35,35.7561,25.4996,-0.622282,0.712091,0.325101,26.4
72.2441,-24.2085,59.4017,0.360357,-0.926751,-0.106186,55.1
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
-101.039,-115,85.091,-0.252798,-0.883647,0.394031,96
72.2441,-24.2085,59.4017,0.360357,-0.926751,-0.106186,55.1
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
-10.35,35.7561,25.4996,-0.622282,0.712091,0.325101,26.4
114.669,3.50234,80.1525,0.81965,0.182088,0.543156,74.5
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
-102.286,-118.626,86.1893,-0.35325,-0.917222,0.184169,98
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
-10.35,35.7561,25.4996,-0.622282,0.712091,0.325101,26.4
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
-10.35,35.7561,25.4996,-0.622282,0.712091,0.325101,26.4
114.669,3.50234,80.1525,0.81965,0.182088,0.543156,74.5
114.669,3.50234,80.1525,0.81965,0.182088,0.543156,74.5
-70.0791,-69.4565,64.9935,-0.565194,-0.482357,0.669244,66
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
114.669,3.50234,80.1525,0.81965,0.182088,0.543156,74.5
-103.365,-122.283,87.3607,-0.191016,-0.901608,0.388092,100
-103.65,-124.14,88.0444,-0.102772,-0.947405,0.303087,101
72.2441,-24.2085,59.4017,0.360357,-0.926751,-0.106186,55.1
-103.65,-124.14,88.0444,-0.102772,-0.947405,0.303087,101
-10.35,35.7561,25.4996,-0.622282,0.712091,0.325101,26.4
-10.35,35.7561,25.4996,-0.622282,0.712091,0.325101,26.4
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
102.406,5.74006,68.7282,0.741653,0.366449,0.561841,66
-10.35,35.7561,25.4996,-0.622282,0.712091,0.325101,26.4
